22-05-2020,0.0470,0.0436,0.0693,0.0545,0.0929,0.1131,0.0548,0.0617
23-05-2020,0.0845,0.0619,0.0476,0.0415,0.0000,0.0000,0.1416,0.1058
24-05-2020,0.0000,0.0000,0.0780,0.0536,0.1252,0.0773,0.0897,0.1172
25-05-2020,0.0939,0.0680,0.0605,0.0506,0.0000,0.0000,0.0000,0.0000
26-05-2020,0.0411,0.0365,0.0580,0.0693,0.1875,0.1560,0.0000,0.0000
27-05-2020,0.0120,0.0124,0.0550,0.0634,0.0439,0.0413,0.0000,0.0000
28-05-2020,0.1071,0.0863,0.0447,0.0546,0.0581,0.0379,0.0640,0.0584
29-05-2020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30-05-2020,0.0473,0.0362,0.0599,0.0524,0.2002,0.1058,0.0000,0.0000
31-05-2020,0.0666,0.0793,0.0327,0.0339,0.0485,0.0324,0.0000,0.0000
01-06-2020,0.0568,0.0375,0.0681,0.0386,0.1792,0.1308,0.0000,0.0000
02-06-2020,0.0773,0.0574,0.0289,0.0278,0.0929,0.0675,0.0000,0.0000
03-06-2020,0.0190,0.0205,0.0451,0.0423,0.0000,0.0000,0.0000,0.0000
04-06-2020,0.0437,0.0501,0.0493,0.0504,0.0370,0.0304,0.1077,0.0751
05-06-2020,0.1027,0.0824,0.0556,0.0315,0.0479,0.0354,0.0000,0.0000
06-06-2020,0.0448,0.0422,0.0470,0.0378,0.0000,0.0000,0.0000,0.0000
07-06-2020,0.0200,0.0174,0.0898,0.0736,0.0391,0.0292,0.0499,0.0372
08-06-2020,0.0762,0.0680,0.0397,0.0328,0.0000,0.0000,0.0000,0.0000
09-06-2020,0.0595,0.0541,0.0678,0.0505,0.0000,0.0000,0.0000,0.0000
10-06-2020,0.0527,0.0497,0.0409,0.0431,0.0681,0.0815,0.0453,0.0346
11-06-2020,0.0304,0.0246,0.0637,0.0609,0.0405,0.0389,0.0675,0.0605
12-06-2020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13-06-2020,0.1143,0.0711,0.0654,0.0410,0.0000,0.0000,0.0000,0.0000
14-06-2020,0.0447,0.0474,0.0980,0.0764,0.0164,0.0117,0.0367,0.0410
15-06-2020,0.0522,0.0430,0.0526,0.0325,0.0000,0.0000,0.0000,0.0000
16-06-2020,0.0393,0.0421,0.0543,0.0543,0.0542,0.0409,0.0706,0.0853
17-06-2020,0.1027,0.0848,0.0321,0.0304,0.0476,0.0409,0.0000,0.0000
18-06-2020,0.0599,0.0526,0.0478,0.0512,0.1106,0.0806,0.1765,0.1074
19-06-2020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20-06-2020,0.0470,0.0272,0.0426,0.0398,0.0000,0.0000,0.0000,0.0000
21-06-2020,0.0745,0.0495,0.0000,0.0000,0.0000,0.0000,0.1239,0.0804
22-06-2020,0.0393,0.0255,0.0481,0.0499,0.0000,0.0000,0.0754,0.0547
23-06-2020,0.0649,0.0618,0.0392,0.0248,0.0000,0.0000,0.0921,0.0534
24-06-2020,0.0467,0.0499,0.0371,0.0290,0.0243,0.0343,0.0000,0.0000
25-06-2020,0.0395,0.0363,0.0694,0.0832,0.0000,0.0000,0.0000,0.0000
26-06-2020,0.0762,0.0778,0.0710,0.0619,0.0000,0.0000,0.0000,0.0000
27-06-2020,0.0391,0.0234,0.0741,0.0532,0.0469,0.0600,0.0000,0.0000
28-06-2020,0.0208,0.0231,0.0829,0.0558,0.0986,0.0628,0.0000,0.0000
29-06-2020,0.0468,0.0316,0.0615,0.0383,0.0000,0.0000,0.0000,0.0000
30-06-2020,0.0748,0.0622,0.0430,0.0385,0.0000,0.0000,0.0000,0.0000

