Date	Article_Count	covid 19	covid-19	death	co-morbidities	comorbidities	death rate	coronavirus	  dead	  die	died	hospital	positive_score	 negative_score
08-06-2020	7	0	12	3	0	0	0	4	2	2	7	8	0.0585	0.0589
09-06-2020	5	0	9	8	0	0	0	4	2	1	0	0	0.0409	0.0357
10-06-2020	5	0	7	3	0	0	0	3	2	0	1	5	0.0572	0.0524
11-06-2020	6	0	5	3	0	0	0	4	3	0	3	4	0.0594	0.0421
12-06-2020	1	0	0	3	0	0	0	1	0	0	0	0	0.0000	0.0000
13-06-2020	3	0	6	1	0	0	0	2	0	1	1	2	0.1083	0.0795
14-06-2020	4	0	6	1	0	0	0	1	1	0	2	1	0.0455	0.0655
15-06-2020	6	0	12	6	0	0	0	5	1	1	3	5	0.0598	0.0420
16-06-2020	5	0	2	3	0	0	0	4	1	0	6	1	0.0442	0.0362
17-06-2020	8	0	5	4	0	0	0	2	2	2	7	2	0.0522	0.0532
18-06-2020	6	0	13	3	0	0	0	8	0	0	1	1	0.0575	0.0523
19-06-2020	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000
20-06-2020	4	0	7	0	0	0	0	0	1	1	5	3	0.0492	0.0492
21-06-2020	3	0	1	0	0	0	0	1	0	0	1	5	0.0605	0.0296
22-06-2020	5	0	2	2	0	0	0	7	4	1	4	2	0.0429	0.0417
23-06-2020	7	0	16	3	0	0	0	7	4	0	3	6	0.0726	0.0605
24-06-2020	5	0	8	5	0	0	0	8	0	0	0	1	0.0597	0.0515
25-06-2020	5	0	7	3	0	1	0	1	0	0	3	2	0.0695	0.0463
26-06-2020	3	0	12	1	0	0	0	2	1	0	1	5	0.0870	0.0648
27-06-2020	4	0	0	3	0	0	0	0	2	0	3	1	0.0345	0.0284
28-06-2020	5	0	15	0	0	0	0	6	1	1	1	3	0.0424	0.0371
29-06-2020	2	0	8	3	0	0	0	4	0	0	0	6	0.0787	0.0533
30-06-2020	5	0	6	9	0	0	0	0	1	2	4	2	0.0769	0.0656
